"group_id","lang_code","alt_name"
"c07ea5b3-539d-4961-a901-75224b7c2ecc","en","NasaScan"
"c07ea5b3-539d-4961-a901-75224b7c2ecc","en","KingNova"
"0fbb0d73-d21b-42ff-a5cb-c2bb79907d7a","en","Emotaku96"
"04eb0f73-6b96-466b-8625-d481dd83b961","en","Con D. Oriano Scanlation"
"e29326c7-506d-4d67-865f-6f3945ad2e69","en","solelo"
"4b188e99-333c-4265-ade6-20420274c494","en","Project NOIR"
"f62c0c65-d7bb-42ee-8d44-f14d9ae974af","en","Boredom Society Scanlations"
"4d41149e-0ec8-4846-82a2-88d112b9dffa","en","Tsundere Service Providers"
"cd2b6a0e-bd86-4a48-b9d0-904d6335fc8d","en","AsuraScans"
"bb382961-1b28-4105-9649-7dddbd064490","en",""
"d521f0a8-096c-41c0-911f-39a35b79f57b","en","A Bit Closer To VF"
"444b7276-d3d2-4328-862a-149e22c280a1","en","Spinyback Manga"
"44547df5-0d21-486c-931d-022a6b84d8bc","en",""
"e5c33178-854f-4992-8500-92adcb7944e0","en","Halcyonvalor"
"3f56c052-8c85-4d44-9bdf-1aa48d00d32f","en","ATF"
"067f0ea6-7af0-4d2b-8598-c6237ea94827","en","Flame Scans"
"a55a2651-b040-45fd-9f00-4494d6e0ebc6","en","Animation Arts"
"a55a2651-b040-45fd-9f00-4494d6e0ebc6","en","animation arts27"
"be4ca0a4-10e2-41c6-bc1d-c0f2ef399012","en","Twisted Curiosity"
"be4ca0a4-10e2-41c6-bc1d-c0f2ef399012","en","The Black Abyss"
"7297a7c3-afd1-4643-b683-1f3c1e95c822","en","SecretScans"
"c2a44267-dbd3-4a9a-842d-1ba0db80b116","en",""
"1596ab3b-42b4-4427-bd95-5bff73544959","en","DreamVictims"
"af4a9f66-8543-4111-85c8-a34d59e173c7","en","Halisen Team"
"5481db91-8c1a-4606-a3b4-44fb078818c4","en",""
"5481db91-8c1a-4606-a3b4-44fb078818c4","en",""
"4245f34c-c06d-4e19-b4ef-e568f8c0a7e6","en","CCS"
"ea1459cf-278e-4b43-8322-09a82ab9f358","en","MANGADODS"
"ea1459cf-278e-4b43-8322-09a82ab9f358","en","DEVMAX"
"91df2cf3-9697-460b-a100-ecfde62efdf2","en","Potatoloverscans"
"91df2cf3-9697-460b-a100-ecfde62efdf2","en","Acme scans"
"d968376b-1063-4d8b-aead-e2ceecf1dff8","en","Star Team"
"43bbbe6d-1f0d-471c-8554-a6067ac8c984","en","JazScans"
"334d86d7-9a40-430e-9fd2-3cf3e16d5e68","en","Hajiki Scans"
"d1dd364f-0ac1-42a3-95ee-3ab40d86ee1a","en","Version"
"1595f3c6-5cfd-4954-bfb5-316a174a05bf","en","ToshiroSub"
"2dcdd21c-e2e4-48af-af92-3545d8e3316f","en","EGS"
"a2bbffed-9bf8-4ce1-bcd3-d1c3d1d986ca","en","Ciaran Hillock"
"4f7413ba-667d-4ae6-bef2-a756ac03cbc0","en","Anime Empire Nisei"
"8372a5fa-7a43-4fe1-aff5-c69c01e762bd","en","Anybody Can Color (ABC^2)"
"92ec4824-670e-4533-a4f8-c016a5cb92f1","en","Manga Downloads Scanlation"
"ed0ce73e-3c14-4b63-8807-e360633cccf6","en","Shinon Productions"
"973d3d11-31ad-455a-bee5-394987eabb71","en","TLL"
"7e62aeec-8955-4519-a3f0-9a896a70d3af","en","Miku's Project Online Indonesia"
"78c00e40-eff8-49d0-a0eb-d666ec6900fc","en","IsItScan"
"fa46dc05-bcbf-4ce9-bd35-38a17b5a65b4","en","Phoenix-Scans"
"e898f2d7-8dbb-43c7-b823-6852919cbe3d","en","Yanime"
"b0e39448-17b3-483a-b5b3-642813cefd86","en","Translation from Smithy"
"75694f32-898e-4e40-a839-d0905f82f51e","en","It wasn't much"
"7f82434e-3a0b-41a6-b4a8-b9e9cea9cf6d","en","M7"
"0ac51747-b41f-48ea-b77d-69bffc64b5e3","en","Passion Fruit e"
"0ac51747-b41f-48ea-b77d-69bffc64b5e3","en","Tenshi no Yume"
"4913fdad-c184-4445-8c00-2b002523c217","en","Raven no Fansub"
"4913fdad-c184-4445-8c00-2b002523c217","en","Raven Scans"
"e46db444-bd1f-4818-8d9a-12abdcd8b299","en","N m sis Scans"
"e46db444-bd1f-4818-8d9a-12abdcd8b299","en","N m siX"
"effc74f9-0e54-4887-93e1-a4f89cc70f75","en","Dandelion in Wonderland"
"eeba8035-3131-4c7d-809e-3281034d4916","en","Sushi-Bar"
"eeba8035-3131-4c7d-809e-3281034d4916","en","SushiBar"
"55729ebf-1974-4a31-a8c4-62ec1b6f18d9","en","Shoujo Magic"
"0d269604-acc9-4063-ae8a-888bb8eaaec4","en","Lupin's Translations"
"a7cea84f-07e7-4273-8e6b-8a93254264d2","en","For The Halibut"
"f58e2246-3339-4daa-a56e-e50af5096009","en","yuutsukimori"
"ca04c7d9-d3bc-4368-959d-a7164f9689db","en","Translation Treasure Box"
"74de71f2-b854-4cc1-b2f8-1f99509de797","en","SAT"
"74de71f2-b854-4cc1-b2f8-1f99509de797","en","SAT'ORI"
"abc3228a-2de7-4883-85de-f4d70bfbe2d6","en","#mangascans"
"d2c21151-1907-4134-8910-1df2208009fd","en","Isekai Demonic World"
"72332974-7eba-4c51-aeb7-eaf30adee0b4","en","Wandering Willows"
"4c808ba4-2c04-4106-9e2b-602f7063597d","en",""
"3ab9b215-4b05-4f10-bd1d-56bcf3b4f182","en","afkeroge"
"063cf1b0-9e25-495b-b234-296579a34496","en","tnk"
"ca282b9a-3841-4ee3-9c95-a090fde8aecc","en","Kusanyagi"
"9268338e-3557-49e8-9a77-c576f35631db","en","SDTLs"
"ef7120b6-b56d-4837-b154-7d18298d92c1","en","MangaChannel"
"b2a1bc0a-c152-43d5-a2ff-198ce97eae5b","en","Noah_Studio"
"5851ba0d-179a-439f-a9a5-7fbf6552c1a5","en","Madman Scans"
"c70f2b63-fc49-419a-80fa-d4261eb77604","en","seby64"
"56ddcbfa-ac51-43ee-8055-5f93d3757386","en","Manga-TR"
"56ddcbfa-ac51-43ee-8055-5f93d3757386","en","MTR"
"0d40d5bf-a339-426a-b702-83dd51933011","en","Chaotic Heavens Scans"
"f7dad91c-8034-40ce-860f-f955b791e7cc","en","Kofitaye Scans"
"f7dad91c-8034-40ce-860f-f955b791e7cc","en","Celeste Scans"
"eff30d47-cf38-443a-9056-24f2a5f8ba30","en","Majide Scans"
"adc34bbc-a415-4d4d-bc6c-bf8aabe30b61","en","Rising Gods of the East Scanlations"
"4333559f-4785-47e3-9ef4-4058bf33c67e","en","Cosmic Team"
"bb0a0794-6f50-4bd1-a2ce-b1a64c8998ab","en","Kibitou4Life"
"bb0a0794-6f50-4bd1-a2ce-b1a64c8998ab","en","kibitou4life"
"bb0a0794-6f50-4bd1-a2ce-b1a64c8998ab","en","life4Kaoru"
"1ac69700-3b56-411f-b93d-da8262a10328","en","CutiePie"
"aaa43e46-9058-4011-a80f-177810c4dd6a","en","HOMU Comics"
"1d2e4c14-db23-4649-a1d9-2b05137be8d6","en","Lumiose Scanlation"
"425ae07c-791b-4994-b0e7-d9d605686c1d","en","Mooncake Scans"
"ead42b1e-7420-42fa-86b8-072065c965cd","en","TanzaniteXD"
