"group_id","lang_code"
"0ca45edb-92fb-41be-afb5-659fbb8b9e64","en"
"4f7ec859-f902-48af-a02f-1d9a6b87b0b8","en"
"f1147cb3-beef-49f0-8b20-56031d26a31c","it"
"e63b3896-3c48-4ef0-a457-c163b235e45c","ru"
"709ff670-4577-477b-b1b4-38295a623726","fr"
"597b383e-bf54-41e8-aee9-6214fb406fff","hi"
"04fd3770-aebf-4b0a-ba60-458df90ad2c9","vi"
"a888bf35-34bc-4b28-9c50-05d033dc1b48","en"
"b5637d7f-7c78-43b1-8a6c-e00fa5fcb6bb","es-la"
"62c79c88-926e-4e1a-a0ba-f6a81ab42bcf","ru"
"2cb75bf1-6d39-4cdd-ba5d-7403598b3ff4","tr"
"31198d08-fbc6-4038-bb93-bebb98ce096a","en"
"30f047d5-399b-43b9-9c0b-7638a8ee8372","es"
"e6874f4b-02dc-4c85-8402-0f7e9cc3b8c6","en"
"cc56bbd7-3997-4015-abcb-f9381415075e","ru"
"4e96dd72-a21c-4726-bc78-214ced7d4734","en"
"01996e22-7fb0-41eb-b724-5fe249fe554b","id"
"d3f191e9-665e-401a-a4ef-cb8e9b7d811a","es"
"38036271-4f11-4b93-b842-e4d62b648b95","tr"
"dc0959fb-067b-4cb4-a466-8c1003588e85","en"
"ea46158f-1258-49cc-a4dd-edbc1b3858ca","en"
"25d88b03-93f5-4e8e-9033-cfb5e661f14d","ru"
"6476cf95-1f25-4325-96e3-1ef3e31aae7f","es-la"
"7196fbd4-57cc-4d4a-9274-f1b11903ecc0","en"
"a4eeab5a-050a-452f-a630-57ce6b372cc2","en"
"6773b0b2-f7cc-4d82-a1e8-da3f77569bb5","en"
"1bf974d6-19da-4e2f-aafe-5229fe1d11ef","ru"
"4cb1c460-b513-4d90-8733-e4f0cdfd9681","en"
"8de8f319-1bd4-4fc3-b64a-e580a2a48391","en"
"9e9fa2c1-2b86-4dd6-9ca1-3d5a36797351","en"
"df3f5b8c-7ecb-4e50-a616-03378f29c80f","en"
"e3d8719c-5895-4574-936e-4dc091d74ee8","tr"
"24b55e21-5ca8-485f-b90b-221e69e9a5f1","en"
"06efe627-39c2-4947-9a81-cf34db4601f8","id"
"ed38660b-2257-4038-abda-42bba25e2bca","en"
"f8afa6c4-1cb6-46b4-9b70-f8645ecaa7c6","en"
"9b30ae6d-0696-4ff1-a0d8-263ebda87103","en"
"76e3e5b1-37e0-4f09-9309-94b3f6627aa6","en"
"834be9b2-09d7-4155-a073-898c95863fd7","pt-br"
"061914de-af10-4e70-bab2-916a01becd95","th"
"082b9edd-76c1-49ca-b50b-10d4791a3a7b","en"
"3ba576ce-b20f-4044-8b47-093b94a7420a","en"
"b7c5ed23-08e3-4370-a274-642c5669e6d8","pt-br"
"a345f354-28a0-4639-979c-e65130129be1","en"
"81f01cbf-d98c-4b3a-84e2-483d5eb08903","en"
"e6a6dc34-968b-4e61-a6ca-4916db0326f4","en"
"50c657e1-5e26-43d8-8b16-66e6fbef52d7","id"
"0d0786ab-7fbf-4d87-bedb-774052f526a3","en"
"5bdb3218-90bd-483f-b482-fe84d7e25019","zh"
"f8c4ce7d-b4ba-46b7-9915-71b8d2cffa99","ru"
"85b44442-901a-47f1-8d2f-ebbe05e1ce3e","es-la"
"30a62406-c43e-4d23-bc7d-7f86feee8c3e","id"
"c3edfc20-2463-42e0-8697-2edc4717a670","en"
"acd0114b-775e-4f47-8f35-07c396c78ca3","ru"
"29042a73-2ab5-4a1e-84d0-54d928d0333b","en"
"f7dc1cb3-61db-45f8-95d3-f050049d19ce","ru"
"84de09f8-b626-4aa3-bacd-cff41ead7f8a","en"
"7fdd3283-18a8-4d05-9efb-f20a8849da34","ru"
"0a371ca9-8b8d-42cf-a7d6-1ba6bd6fc181","es"
"1ab99b2a-317b-481d-8ebc-050c2a485ef9","pt-br"
"8466acb1-23ed-42d7-8f54-250c6c333843","en"
"8466acb1-23ed-42d7-8f54-250c6c333843","fr"
"8466acb1-23ed-42d7-8f54-250c6c333843","ja"
"2238af4d-7934-4c10-85f1-98a29b2679c1","tr"
"d098cd28-98aa-46f0-8801-759d25098f18","es-la"
"d0086aab-3e12-49b3-a2fc-fcc646209238","en"
"11cf9eb1-9c97-4e8e-b3e2-027906f7b3bc","en"
"eba9df1a-12a0-4de9-b028-86b9d81e1e89","es-la"
"c936338c-abd3-4459-a2d9-d5778038eaac","en"
"82c8cf16-34e3-4988-ab1d-6ff0101a96d1","en"
"00cbc02a-e34e-4988-96ac-213679fc9989","en"
"6b4f9242-217c-4d9d-bb33-610ea3c9c0da","en"
"d7e47339-73af-42b2-84bc-1661a5e8009d","en"
"d4983774-86b3-44fa-8678-d3165dc8e7bc","fr"
